"Data","Dzień tygodnia","Wspomnienie","Sigla"
"2023-05-07","Niedziela","V NIEDZIELA WIELKANOCNA
W Diecezji Kieleckiej: Najśw. Maryi Panny, Matki Łaski Bożej
","Dz 6,1-7, Ps 33,1-2.4-5.18-19, 1 P 2,4-9, J 14,1-12"
"2023-05-08","Poniedziałek","Uroczystość św. Stanisława, biskupa i męczennika, głównego patrona Polski
Św. Stanisława, Biskupa I Męczennika, Głównego Patrona Polski I Archidiecezji Krakowskiej, Lubelskiej, Poznańskiej I Warszawskiej Oraz Diecezji Kieleckiej, Płockiej, Sandomierskiej I Tarnowskiej
","Dz 20,17-18a.28-32.36, Ps 100,1-5, Rz 8,31b-39, J 10,11-16"
"2023-05-09","Wtorek","

","Dz 14,19-28, Ps 145,10-13.21, J 14,27-31a"
"2023-05-10","Środa","

","Dz 15,1-6, Ps 122,1-2.4-5, J 15,1-8"
"2023-05-11","Czwartek","

","Dz 15,7-21, Ps 96,1-3.10, J 15,9-11"
"2023-05-12","Piątek","
Świętych Męczenników Nereusza I Achillesa
","Dz 15,22-31, Ps 57,8-12, J 15,12-17"
"2023-05-13","Sobota","
Najśw. Maryi Panny Fatimskiej
","Dz 16,1-10, Ps 100,1-5, J 15,18-21"
"2023-05-14","Niedziela","Święto św. Macieja, Apostoła
Św. Macieja, Apostoła
","Dz 1,15-17.20-26, Ps 113,1-8, J 15,9-17, Dz 8,5-8.14-17, Ps 66,1-7.16.20, 1 P 3,15-18, J 14,15-21"
"2023-05-15","Poniedziałek","

","Dz 16,11-15, Ps 149,1-6a.9b, J 15,26-16,4a"
"2023-05-16","Wtorek","
Św. Andrzeja Boboli, Prezbitera I Męczennika, Patrona Polski Oraz Archidiecezji Warmińskiej I Diecezji Łomżyńskiej
","Dz 16,22-34, Ps 138,1-3.7c-8, J 16,5-11"
"2023-05-17","Środa","
W Diecezji Elbląskiej: Rocznica Poświęcenia Kościoła Katedralnego W Elblągu
","Dz 17,15.22-18,1, Ps 148,1-2.11-14, J 16,12-15"
"2023-05-18","Czwartek","
Św. Jana I, Papieża I Męczennika
","Dz 18,1-8, Ps 98,1-4, J 16,16-20"
"2023-05-19","Piątek","

","Dz 18,9-18, Ps 47,2-7, J 16,20-23a"
"2023-05-20","Sobota","
Św. Bernardyna Ze Sieny, Prezbitera
","Dz 18,23-28, Ps 47,2-3.8-10, J 16,23b-28"
"2023-05-21","Niedziela","WNIEBOWSTĄPIENIE PAŃSKIE
Świętych Męczenników Krzysztofa Magallanes, Prezbitera I Towarzyszy
","Dz 1,1-11, Ps 47,2-3.6-9, Ef 1,17-23, Łk 24,46-53"
"2023-05-22","Poniedziałek","
Św. Rity Z Cascia
","Dz 19,1-8, Ps 68,2-7, J 16,29-33"
